joining_date,required_experience,Overall_Satisfication,Working_model,Salary
01/02/2022,Less than 2 years,Neutral,On Site,30000
01/02/2022,Less than 2 years,Neutral,On Site,32500
01/02/2022,Less than 2 years,Neutral,On Site,20000
01/02/2021,More than 2 years,Satisfied,On Site,100000
01/03/2023,More than 3 years,Satisfied,On Site,60000
01/02/2022,More than 4 years,Neutral,On Site,80000
01/03/2023,More than 4 years,Satisfied,Remote,55000
01/02/2021,More than 6 years,Neutral,On Site,110000
01/03/2023,Fresh graduate,Neutral,On Site,8000
01/01/2024,Fresh graduate,Satisfied,On Site,12000
01/01/2022,Less than 2 years,Satisfied,On Site,60000
01/01/2023,Less than 2 years,Neutral,On Site,50000
01/02/2021,More than 5 years,Neutral,On Site,120000
01/02/2022,Less than 2 years,Satisfied,On Site,28000
01/01/2020,More than 7 years,Satisfied,On Site,125000
01/01/2023,Less than 2 years,Satisfied,On Site,27500
01/01/2023,More than 6 years,Satisfied,Remote,200000
01/02/2023,Less than 2 years,Satisfied,Remote,100000
01/02/2022,Less than 2 years,Satisfied,On Site,35000
01/02/2022,More than 2 years,Satisfied,On Site,115000
01/02/2021,More than 4 years,Neutral,On Site,80000
01/02/2022,More than 6 years,Satisfied,On Site,170000
01/02/2023,More than 2 years,Neutral,On Site,40000
01/02/2022,More than 4 years,Neutral,On Site,65000
01/02/2021,Less than 2 years,Satisfied,On Site,22000
01/02/2023,More than 3 years,Satisfied,On Site,105000
01/02/2022,More than 3 years,Satisfied,On Site,105000
01/02/2022,More than 4 years,Dissatisfied,On Site,55000
01/02/2021,Less than 2 years,Neutral,On Site,25000
01/02/2023,More than 3 years,Neutral,On Site,45000
01/02/2024,More than 2 years,Satisfied,Remote,65000
01/02/2022,More than 3 years,Satisfied,Remote,90000
01/02/2023,More than 3 years,Satisfied,On Site,80000
01/02/2022,Less than 2 years,Neutral,On Site,47500
01/02/2022,More than 2 years,Satisfied,On Site,100000
01/02/2023,More than 2 years,Satisfied,On Site,70000
01/02/2023,More than 3 years,Satisfied,On Site,90000
